22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
5.27|317:296|154:259
5.28|317:296|154:259
5.29|317:296|154:259
5.3|317:296|154:259
5.31|317:306|155:269
5.32|317:306|155:269
5.33|317:314|158:279
5.34|317:314|158:279
5.35|315:325|160:290
5.36|315:325|160:290
5.37|315:325|160:290
5.38|313:334|163:299
5.39|313:334|163:299
5.4|311:343|164:309
5.41|311:343|164:309
5.42|309:350|164:317
5.43|309:350|164:317
5.44|309:350|163:317
5.45|309:350|163:317
5.46|308:357|164:325
5.47|308:357|164:325
5.48|307:366|166:333
5.49|307:366|166:333
5.5|307:372|164:341
5.51|307:372|164:341
5.52|307:380|167:348
5.53|307:380|167:348
5.54|307:380|167:348
5.55|307:380|167:348
5.56|307:380|167:348
5.57|307:399|171:361
5.58|307:399|171:361
5.59|307:399|164:363
5.6|307:399|164:363
5.61|310:403|164:371
5.62|310:403|164:371
5.63|306:414|163:377
5.64|306:414|163:377
5.65|306:420|164:384
5.66|306:420|164:384
5.67|306:425|164:390
5.68|306:425|164:390
5.69|306:425|164:390
5.7|306:425|164:390
5.71|303:435|164:401
5.72|303:435|164:401
5.73|303:435|164:401
5.74|303:435|164:401
5.75|303:435|164:401
5.76|304:438|164:405
5.77|304:438|164:405
5.78|303:443|165:409
5.79|303:443|165:409
5.8|300:447|165:414
5.81|300:447|165:414
5.82|297:452|165:417
5.83|297:452|165:417
5.84|296:454|165:417
5.85|296:454|165:417
5.86|296:454|165:417
5.87|291:458|165:421
5.88|291:458|165:421
5.89|290:460|165:421
5.9|290:460|165:424
5.91|290:460|165:424
5.92|292:460|166:426
5.93|292:460|166:426
5.94|292:460|165:427
5.95|292:460|165:427
5.96|292:460|165:427
5.97|292:456|166:426
5.98|292:456|166:426
5.99|291:458|166:424
6|291:458|166:424
6.01|291:458|166:424
6.02|291:458|166:424
6.03|290:457|164:420
6.04|290:457|164:420
6.05|290:457|164:420
6.06|290:457|164:420
6.07|289:456|163:416
6.08|289:456|163:416
6.09|289:453|163:413
6.1|289:453|163:413
6.11|291:447|164:409
6.12|291:447|164:409
6.13|292:439|164:404
6.14|292:439|164:404
6.15|292:439|164:404
6.16|292:439|164:404
6.17|292:432|163:398
6.18|292:432|163:398
6.19|291:424|164:390
6.2|291:424|164:390
6.21|290:417|169:382
6.22|290:417|169:382
6.23|292:408|165:374
6.24|292:408|165:374
6.25|291:400|165:366
6.26|291:400|165:366
6.27|291:400|165:366
6.28|292:391|165:358
6.29|292:391|165:358
6.3|292:391|165:358
6.31|292:391|165:358
6.32|292:383|165:350
6.33|292:383|165:350
6.34|292:376|166:341
6.35|292:376|166:341
6.36|291:369|166:333
6.37|291:369|166:333
6.38|292:361|167:325
6.39|292:361|167:325
6.4|292:355|168:317
6.41|292:355|168:317
6.42|290:348|168:309
6.43|290:348|168:309
6.44|290:348|168:309
6.45|290:348|168:309
6.46|290:341|170:299
6.47|290:341|170:299
6.48|290:341|170:299
6.49|290:341|170:299
6.5|290:341|170:299
6.51|293:320|170:299
6.52|293:320|170:299
6.53|288:314|170:299
6.54|288:314|170:299
6.55|288:314|175:270
6.56|288:314|175:270
6.57|281:299|175:270
6.58|281:299|175:270
6.59|281:299|175:249
6.6|281:299|175:249
6.61|281:290|178:238
6.62|281:290|178:238
6.63|279:282|183:227
6.64|279:282|183:227
6.65|280:272|186:217
6.66|280:272|186:217
6.67|279:263|184:207
6.68|279:263|184:207
6.69|279:263|183:207
6.7|279:263|183:207
6.71|279:263|183:207
6.72|278:248|183:192
6.73|278:248|183:192
6.74|278:248|183:192
6.75|278:248|183:192
6.76|278:248|183:192
6.77|277:241|186:186
6.78|277:241|186:186
6.79|276:234|190:179
6.8|276:234|190:179
6.81|276:229|190:174
6.82|276:229|190:174
6.83|275:223|191:169
6.84|275:223|191:169
6.85|275:223|191:169
6.86|275:223|191:169
6.87|274:218|190:164
6.88|274:218|190:164
6.89|272:215|190:159
6.9|272:215|190:159
6.91|273:209|189:155
6.92|273:209|189:155
6.93|271:206|188:151
6.94|271:206|188:151
6.95|271:201|187:148
6.96|271:201|187:148
6.97|271:201|187:148
6.98|271:196|188:144
6.99|271:196|188:144
7|271:196|188:144
7.01|271:196|188:144
7.02|271:192|188:141
7.03|271:192|188:141
7.04|270:188|189:138
7.05|270:188|189:138
7.06|270:185|189:134
7.07|270:185|189:134
