19:18:33
1.67  -  x: 504, y: 435  |  x: 504, y: 435
1.68  -  x: 504, y: 435  |  x: 504, y: 435
1.69  -  x: 499, y: 439  |  x: 499, y: 439
1.7  -  x: 499, y: 439  |  x: 499, y: 439
1.71  -  x: 499, y: 439  |  x: 499, y: 439
1.72  -  x: 500, y: 434  |  x: 500, y: 434
1.73  -  x: 500, y: 434  |  x: 500, y: 434
1.74  -  x: 500, y: 434  |  x: 500, y: 434
1.75  -  x: 500, y: 434  |  x: 500, y: 434
1.76  -  x: 500, y: 434  |  x: 500, y: 434
1.77  -  x: 500, y: 434  |  x: 500, y: 434
1.78  -  x: 498, y: 438  |  x: 498, y: 438
1.79  -  x: 498, y: 438  |  x: 498, y: 438
1.8  -  x: 498, y: 438  |  x: 498, y: 438
1.81  -  x: 496, y: 443  |  x: 496, y: 443
1.82  -  x: 496, y: 443  |  x: 496, y: 443
1.83  -  x: 496, y: 443  |  x: 496, y: 443
1.84  -  x: 495, y: 439  |  x: 495, y: 439
1.85  -  x: 495, y: 439  |  x: 495, y: 439
1.86  -  x: 499, y: 436  |  x: 499, y: 436
1.87  -  x: 499, y: 436  |  x: 499, y: 436
1.88  -  x: 499, y: 436  |  x: 499, y: 436
1.89  -  x: 499, y: 436  |  x: 499, y: 436
1.9  -  x: 500, y: 437  |  x: 500, y: 437
1.91  -  x: 500, y: 437  |  x: 500, y: 437
1.92  -  x: 500, y: 437  |  x: 500, y: 437
1.93  -  x: 505, y: 435  |  x: 505, y: 435
1.94  -  x: 505, y: 435  |  x: 505, y: 435
1.95  -  x: 505, y: 435  |  x: 505, y: 435
1.96  -  x: 503, y: 429  |  x: 503, y: 429
1.97  -  x: 503, y: 429  |  x: 503, y: 429
1.98  -  x: 503, y: 429  |  x: 503, y: 429
1.99  -  x: 503, y: 429  |  x: 503, y: 429
2  -  x: 503, y: 429  |  x: 503, y: 429
2.01  -  x: 503, y: 429  |  x: 503, y: 429
2.02  -  x: 502, y: 432  |  x: 502, y: 432
2.03  -  x: 502, y: 432  |  x: 502, y: 432
2.04  -  x: 502, y: 432  |  x: 502, y: 432
2.05  -  x: 500, y: 440  |  x: 500, y: 440
2.06  -  x: 500, y: 440  |  x: 500, y: 440
2.07  -  x: 500, y: 440  |  x: 500, y: 440
2.08  -  x: 500, y: 436  |  x: 500, y: 436
2.09  -  x: 500, y: 436  |  x: 500, y: 436
2.1  -  x: 500, y: 436  |  x: 500, y: 436
2.11  -  x: 500, y: 436  |  x: 500, y: 436
2.12  -  x: 500, y: 436  |  x: 500, y: 436
2.13  -  x: 506, y: 429  |  x: 506, y: 429
2.14  -  x: 506, y: 429  |  x: 506, y: 429
2.15  -  x: 506, y: 429  |  x: 506, y: 429
2.16  -  x: 488, y: 445  |  x: 488, y: 445
2.17  -  x: 488, y: 445  |  x: 488, y: 445
2.18  -  x: 488, y: 445  |  x: 488, y: 445
2.19  -  x: 488, y: 445  |  x: 488, y: 445
2.2  -  x: 488, y: 445  |  x: 488, y: 445
2.21  -  x: 488, y: 445  |  x: 488, y: 445
2.22  -  x: 488, y: 445  |  x: 488, y: 445
2.23  -  x: 486, y: 446  |  x: 486, y: 446
2.24  -  x: 486, y: 446  |  x: 486, y: 446
2.25  -  x: 489, y: 444  |  x: 489, y: 444
2.26  -  x: 489, y: 444  |  x: 489, y: 444
2.27  -  x: 489, y: 444  |  x: 489, y: 444
2.28  -  x: 501, y: 432  |  x: 501, y: 432
2.29  -  x: 501, y: 432  |  x: 501, y: 432
2.3  -  x: 501, y: 432  |  x: 501, y: 432
2.31  -  x: 495, y: 438  |  x: 495, y: 438
2.32  -  x: 495, y: 438  |  x: 495, y: 438
2.33  -  x: 495, y: 438  |  x: 495, y: 438
2.34  -  x: 498, y: 443  |  x: 498, y: 443
2.35  -  x: 498, y: 443  |  x: 498, y: 443
2.36  -  x: 498, y: 443  |  x: 498, y: 443
2.37  -  x: 493, y: 440  |  x: 493, y: 440
2.38  -  x: 493, y: 440  |  x: 493, y: 440
2.39  -  x: 493, y: 440  |  x: 493, y: 440
2.4  -  x: 506, y: 447  |  x: 506, y: 447
2.41  -  x: 506, y: 447  |  x: 506, y: 447
2.42  -  x: 506, y: 447  |  x: 506, y: 447
2.43  -  x: 506, y: 447  |  x: 506, y: 447
2.44  -  x: 506, y: 447  |  x: 506, y: 447
2.45  -  x: 506, y: 447  |  x: 506, y: 447
2.46  -  x: 506, y: 447  |  x: 506, y: 447
2.47  -  x: 506, y: 447  |  x: 506, y: 447
2.48  -  x: 506, y: 447  |  x: 506, y: 447
2.49  -  x: 506, y: 447  |  x: 506, y: 447
2.5  -  x: 500, y: 438  |  x: 500, y: 438
2.51  -  x: 500, y: 438  |  x: 500, y: 438
2.52  -  x: 500, y: 438  |  x: 500, y: 438
2.53  -  x: 492, y: 440  |  x: 492, y: 440
2.54  -  x: 492, y: 440  |  x: 492, y: 440
2.55  -  x: 492, y: 440  |  x: 492, y: 440
2.56  -  x: 486, y: 446  |  x: 486, y: 446
2.57  -  x: 486, y: 446  |  x: 486, y: 446
2.58  -  x: 486, y: 446  |  x: 486, y: 446
2.59  -  x: 486, y: 446  |  x: 486, y: 446
2.6  -  x: 486, y: 446  |  x: 486, y: 446
2.61  -  x: 486, y: 446  |  x: 486, y: 446
2.62  -  x: 486, y: 447  |  x: 486, y: 447
2.63  -  x: 486, y: 447  |  x: 486, y: 447
2.64  -  x: 486, y: 447  |  x: 486, y: 447
2.65  -  x: 491, y: 443  |  x: 491, y: 443
2.66  -  x: 491, y: 443  |  x: 491, y: 443
2.67  -  x: 491, y: 443  |  x: 491, y: 443
2.68  -  x: 498, y: 442  |  x: 498, y: 442
2.69  -  x: 498, y: 442  |  x: 498, y: 442
2.7  -  x: 498, y: 442  |  x: 498, y: 442
2.71  -  x: 505, y: 434  |  x: 505, y: 434
2.72  -  x: 505, y: 434  |  x: 505, y: 434
2.73  -  x: 505, y: 434  |  x: 505, y: 434
2.74  -  x: 505, y: 434  |  x: 505, y: 434
2.75  -  x: 505, y: 434  |  x: 505, y: 434
2.76  -  x: 505, y: 434  |  x: 505, y: 434
2.77  -  x: 510, y: 429  |  x: 510, y: 429
2.78  -  x: 510, y: 429  |  x: 510, y: 429
2.79  -  x: 510, y: 429  |  x: 510, y: 429
2.8  -  x: 494, y: 447  |  x: 494, y: 447
2.81  -  x: 494, y: 447  |  x: 494, y: 447
2.82  -  x: 494, y: 447  |  x: 494, y: 447
2.83  -  x: 494, y: 447  |  x: 494, y: 447
2.84  -  x: 494, y: 447  |  x: 494, y: 447
2.85  -  x: 493, y: 441  |  x: 493, y: 441
2.86  -  x: 493, y: 441  |  x: 493, y: 441
2.87  -  x: 493, y: 441  |  x: 493, y: 441
2.88  -  x: 490, y: 443  |  x: 490, y: 443
2.89  -  x: 490, y: 443  |  x: 490, y: 443
2.9  -  x: 490, y: 443  |  x: 490, y: 443
2.91  -  x: 490, y: 443  |  x: 490, y: 443
2.92  -  x: 490, y: 443  |  x: 490, y: 443
2.93  -  x: 490, y: 443  |  x: 490, y: 443
2.94  -  x: 490, y: 443  |  x: 490, y: 443
2.95  -  x: 491, y: 441  |  x: 491, y: 441
2.96  -  x: 491, y: 441  |  x: 491, y: 441
2.97  -  x: 490, y: 443  |  x: 490, y: 443
2.98  -  x: 490, y: 443  |  x: 490, y: 443
2.99  -  x: 490, y: 443  |  x: 490, y: 443
3  -  x: 490, y: 443  |  x: 490, y: 443
3.01  -  x: 490, y: 443  |  x: 490, y: 443
3.02  -  x: 490, y: 443  |  x: 490, y: 443
3.03  -  x: 490, y: 443  |  x: 490, y: 443
3.04  -  x: 490, y: 443  |  x: 490, y: 443
3.05  -  x: 490, y: 443  |  x: 490, y: 443
3.06  -  x: 512, y: 422  |  x: 512, y: 422
3.07  -  x: 512, y: 422  |  x: 512, y: 422
3.08  -  x: 512, y: 422  |  x: 512, y: 422
3.09  -  x: 502, y: 431  |  x: 502, y: 431
3.1  -  x: 502, y: 431  |  x: 502, y: 431
3.11  -  x: 502, y: 431  |  x: 502, y: 431
3.12  -  x: 507, y: 428  |  x: 507, y: 428
3.13  -  x: 507, y: 428  |  x: 507, y: 428
3.14  -  x: 507, y: 428  |  x: 507, y: 428
