19:49:49
Time [s]    Obiekt 1       Obiekt 2
1.9  -  x: 511, y: 435  |  x: 511, y: 435
1.91  -  x: 511, y: 435  |  x: 511, y: 435
1.92  -  x: 511, y: 435  |  x: 511, y: 435
1.93  -  x: 511, y: 435  |  x: 511, y: 435
1.94  -  x: 511, y: 435  |  x: 511, y: 435
1.95  -  x: 511, y: 435  |  x: 511, y: 435
1.96  -  x: 511, y: 435  |  x: 511, y: 435
1.97  -  x: 511, y: 435  |  x: 511, y: 435
1.98  -  x: 512, y: 437  |  x: 512, y: 437
1.99  -  x: 512, y: 437  |  x: 512, y: 437
2  -  x: 512, y: 437  |  x: 512, y: 437
2.01  -  x: 512, y: 435  |  x: 512, y: 435
2.02  -  x: 512, y: 435  |  x: 512, y: 435
2.03  -  x: 512, y: 435  |  x: 512, y: 435
2.04  -  x: 513, y: 436  |  x: 513, y: 436
2.05  -  x: 513, y: 436  |  x: 513, y: 436
2.06  -  x: 513, y: 436  |  x: 513, y: 436
2.07  -  x: 514, y: 436  |  x: 514, y: 436
2.08  -  x: 514, y: 436  |  x: 514, y: 436
2.09  -  x: 514, y: 436  |  x: 514, y: 436
2.1  -  x: 514, y: 436  |  x: 514, y: 436
2.11  -  x: 514, y: 436  |  x: 514, y: 436
2.12  -  x: 514, y: 436  |  x: 514, y: 436
2.13  -  x: 515, y: 437  |  x: 515, y: 437
2.14  -  x: 515, y: 437  |  x: 515, y: 437
2.15  -  x: 515, y: 437  |  x: 515, y: 437
2.16  -  x: 514, y: 438  |  x: 514, y: 438
2.17  -  x: 514, y: 438  |  x: 514, y: 438
2.18  -  x: 514, y: 438  |  x: 514, y: 438
2.19  -  x: 516, y: 440  |  x: 516, y: 440
2.2  -  x: 516, y: 440  |  x: 516, y: 440
2.21  -  x: 516, y: 440  |  x: 516, y: 440
2.22  -  x: 516, y: 440  |  x: 516, y: 440
2.23  -  x: 516, y: 440  |  x: 516, y: 440
2.24  -  x: 516, y: 440  |  x: 516, y: 440
2.25  -  x: 515, y: 439  |  x: 515, y: 439
2.26  -  x: 515, y: 439  |  x: 515, y: 439
2.27  -  x: 515, y: 439  |  x: 515, y: 439
2.28  -  x: 518, y: 438  |  x: 518, y: 438
2.29  -  x: 518, y: 438  |  x: 518, y: 438
2.3  -  x: 518, y: 438  |  x: 518, y: 438
2.31  -  x: 518, y: 440  |  x: 518, y: 440
2.32  -  x: 518, y: 440  |  x: 518, y: 440
2.33  -  x: 518, y: 440  |  x: 518, y: 440
2.34  -  x: 518, y: 440  |  x: 518, y: 440
2.35  -  x: 518, y: 440  |  x: 518, y: 440
2.36  -  x: 518, y: 440  |  x: 518, y: 440
2.37  -  x: 519, y: 439  |  x: 519, y: 439
2.38  -  x: 519, y: 439  |  x: 519, y: 439
2.39  -  x: 519, y: 439  |  x: 519, y: 439
