20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
5.11|43:207|102:314
5.12|43:207|102:314
5.13|43:207|102:314
5.14|48:205|102:314
5.15|48:205|102:315
5.16|48:205|102:315
5.17|41:207|102:318
5.18|41:207|102:318
5.19|41:207|102:318
5.2|41:207|102:318
5.21|41:207|102:318
5.22|42:208|102:318
5.23|42:208|104:319
5.24|42:208|104:319
5.25|47:207|104:319
5.26|47:207|109:320
5.27|47:207|109:320
5.28|41:209|109:320
5.29|41:209|118:317
5.3|41:209|118:317
5.31|51:209|118:317
5.32|51:209|124:323
5.33|51:209|124:323
5.34|51:209|124:323
5.35|51:209|124:323
5.36|51:209|124:323
5.37|61:211|124:323
5.38|61:211|124:323
5.39|62:212|124:323
5.4|62:212|124:323
5.41|62:212|124:323
5.42|62:212|124:323
5.43|62:212|159:300
5.44|62:212|159:300
5.45|62:215|159:300
5.46|62:215|159:300
5.47|62:215|159:300
5.48|69:216|159:300
5.49|69:216|179:304
5.5|69:216|179:304
5.51|72:216|179:304
5.52|72:216|179:304
5.53|72:216|179:304
5.54|81:216|179:304
5.55|81:216|179:304
5.56|81:216|179:304
5.57|97:216|179:304
5.58|97:216|192:311
5.59|97:216|192:311
5.6|97:216|189:322
5.61|97:216|189:322
5.62|104:213|189:322
5.63|104:213|189:342
5.64|104:213|189:342
5.65|109:214|189:342
5.66|109:214|196:343
5.67|109:214|196:343
5.68|110:212|196:343
5.69|110:212|204:343
5.7|110:212|204:343
5.71|110:212|204:343
5.72|110:212|204:343
5.73|110:212|204:343
5.74|118:214|204:343
5.75|118:214|211:342
5.76|118:214|211:342
5.77|120:214|211:342
5.78|120:214|215:344
5.79|124:213|215:344
5.8|124:213|222:341
5.81|124:213|222:341
5.82|124:213|222:341
5.83|124:213|223:338
5.84|124:213|223:338
5.85|124:213|223:338
5.86|124:213|227:341
5.87|124:213|227:341
5.88|127:214|227:341
5.89|127:214|232:339
5.9|127:214|232:339
